location_id,on_date,min_temp_c,max_temp_c,precip_mm,conditions,source
24,2025-10-23,11.2,21.9,0.0,Clear,Open-Meteo
24,2025-10-24,14.4,21.5,0.0,Cloudy,Open-Meteo
24,2025-10-25,17.1,21.7,20.7,Moderate rain,Open-Meteo
24,2025-10-26,15.1,21.0,13.6,Moderate rain,Open-Meteo
25,2025-10-20,12.2,16.6,3.6,Moderate drizzle,Open-Meteo
25,2025-10-21,12.8,17.4,0.0,Cloudy,Open-Meteo
25,2025-10-22,13.5,16.1,3.7,Moderate drizzle,Open-Meteo
25,2025-10-23,12.6,14.0,11.6,Unknown,Open-Meteo
25,2025-10-24,12.0,14.6,2.7,Moderate drizzle,Open-Meteo
25,2025-10-25,12.1,17.8,0.5,Light drizzle,Open-Meteo
25,2025-10-26,11.0,18.5,2.1,Moderate drizzle,Open-Meteo
26,2025-10-20,10.3,18.1,0.0,Cloudy,Open-Meteo
26,2025-10-21,9.6,19.2,0.0,Cloudy,Open-Meteo
26,2025-10-22,12.9,20.0,0.1,Light drizzle,Open-Meteo
26,2025-10-23,15.9,20.2,1.2,Moderate drizzle,Open-Meteo
26,2025-10-24,16.4,23.2,45.1,Unknown,Open-Meteo
26,2025-10-25,13.3,18.2,33.3,Unknown,Open-Meteo
26,2025-10-26,12.9,20.4,0.0,Cloudy,Open-Meteo
27,2025-10-20,13.6,25.4,0.0,Cloudy,Open-Meteo
27,2025-10-21,13.2,25.6,0.0,Cloudy,Open-Meteo
27,2025-10-22,14.1,26.0,0.0,Mainly clear,Open-Meteo
27,2025-10-23,12.7,25.0,0.0,Mainly clear,Open-Meteo
27,2025-10-24,13.1,25.9,0.0,Cloudy,Open-Meteo
27,2025-10-25,14.0,25.3,0.0,Cloudy,Open-Meteo
27,2025-10-26,13.5,25.8,0.0,Mainly clear,Open-Meteo
28,2025-10-20,22.1,32.6,21.9,Unknown,Open-Meteo
28,2025-10-21,22.4,30.2,8.8,Light rain,Open-Meteo
28,2025-10-22,23.5,33.7,0.4,Light drizzle,Open-Meteo
28,2025-10-23,22.4,32.3,12.5,Moderate rain,Open-Meteo
28,2025-10-24,23.5,33.1,13.4,Unknown,Open-Meteo
28,2025-10-25,24.1,33.2,1.3,Moderate drizzle,Open-Meteo
28,2025-10-26,24.4,32.7,1.1,Light drizzle,Open-Meteo
29,2025-10-20,16.5,20.6,3.8,Moderate drizzle,Open-Meteo
29,2025-10-21,14.3,21.3,2.1,Light drizzle,Open-Meteo
29,2025-10-22,15.6,21.9,2.8,Moderate drizzle,Open-Meteo
29,2025-10-23,16.7,24.7,0.1,Light drizzle,Open-Meteo
29,2025-10-24,17.2,26.8,0.3,Light drizzle,Open-Meteo
29,2025-10-25,18.8,30.0,0.0,Mainly clear,Open-Meteo
29,2025-10-26,18.6,35.0,0.0,Cloudy,Open-Meteo
30,2025-10-20,24.0,28.2,23.4,Moderate rain,Open-Meteo
30,2025-10-21,25.1,26.6,35.9,Moderate rain,Open-Meteo
30,2025-10-22,25.3,29.0,23.7,Moderate rain,Open-Meteo
30,2025-10-23,24.4,29.8,19.2,Moderate rain,Open-Meteo
30,2025-10-24,24.3,27.2,4.0,Unknown,Open-Meteo
